S.No.,origin,destination,distance,raw_response,Error
1, Orpington,test_city,,"{'destination_addresses': [''], 'status': 'OK', 'rows': [{'elements': [{'status': 'NOT_FOUND'}]}], 'origin_addresses': ['Orpington, UK']}",Error getting distance.
2,Sevenoaks,Orpington,9.4 mi,"{'destination_addresses': ['Orpington, UK'], 'status': 'OK', 'rows': [{'elements': [{'duration': {'text': '23 mins', 'value': 1376}, 'status': 'OK', 'distance': {'text': '9.4 mi', 'value': 15201}}]}], 'origin_addresses': ['Sevenoaks, UK']}",No Error
3,Delhi,Mumbai,880 mi,"{'destination_addresses': ['Mumbai, Maharashtra, India'], 'status': 'OK', 'rows': [{'elements': [{'duration': {'text': '23 hours 14 mins', 'value': 83669}, 'status': 'OK', 'distance': {'text': '880 mi', 'value': 1415711}}]}], 'origin_addresses': ['Delhi, India']}",No Error
4,Chandigarh,Delhi,152 mi,"{'destination_addresses': ['Delhi, India'], 'status': 'OK', 'rows': [{'elements': [{'duration': {'text': '4 hours 13 mins', 'value': 15171}, 'status': 'OK', 'distance': {'text': '152 mi', 'value': 244547}}]}], 'origin_addresses': ['Chandigarh, India']}",No Error
5,Sevenoaks, Orpington,9.4 mi,"{'destination_addresses': ['Orpington, UK'], 'status': 'OK', 'rows': [{'elements': [{'duration': {'text': '23 mins', 'value': 1376}, 'status': 'OK', 'distance': {'text': '9.4 mi', 'value': 15201}}]}], 'origin_addresses': ['Sevenoaks, UK']}",No Error
